ID_unique_number,Textual_Unit_ID,TextID,Stressed_unit,Morph,Lemma,Analysis,,PH023,1=o,2=u
115797,S0071-1,0071,[d]o·fuslim,[d]o·,do·,,,1,,
104644,S0003-29,0003,dothetha,do,do·,,,1,,
104763,S0003-35,0003,Dossnicfa,Do,do·,,,1,,
78762,S0005-1,0005,do choíniud,do,do 1,,,1,,
78792,S0005-2,0005,ar do macḟind,do,2sg.poss.pron.,,,1,,
78802,S0005-2,0005,do brú,do,2sg.poss.pron.,,,1,,
78889,S0005-6,0005,do mac,do,2sg.poss.pron.,,,1,,
78911,S0005-7,0005,do macamrai,do,2sg.poss.pron.,,,1,,
78962,S0005-9,0005,a ndo·regad,do,do·,,,1,,
79031,S0005-12,0005,do·deraid,do,do·,,,1,,
79090,S0005-15,0005,do chuingid,do,do 1,,,1,,
79110,S0005-16,0005,do mac,do,2sg.poss.pron.,,,1,,
79140,S0005-17,0005,do Ísu,do,do 1,,,1,,
79181,S0005-19,0005,do Iosíab,do,do 1,,,1,,
79190,S0005-19,0005,ocus do mac,do,2sg.poss.pron.,,,1,,
79244,S0005-22,0005,do longas,do,2sg.poss.pron.,,,1,,
79384,S0005-28,0005,do chách,do,do 1,,,1,,
79438,S0005-31,0005,do Chríst,do,do 1,,,1,,
79505,S0005-34,0005,do choic,do,do 1,,,1,,
79573,S0005-37,0005,do bodraib,do,do 1,,,1,,
79578,S0005-37,0005,do roscaib,do,do 1,,,1,,
79585,S0005-37,0005,do chóemchlód,do,do 1,,,1,,
79635,S0005-40,0005,do cach bocht,do,do 1,,,1,,
79640,S0005-40,0005,do cach imnocht,do,do 1,,,1,,
79653,S0005-40,0005,do thrócairi,do,do 1,,,1,,
79660,S0005-41,0005,do maic,do,2sg.poss.pron.,,,1,,
79687,S0005-42,0005,do chorpaib,do,do 1,,,1,,
79694,S0005-42,0005,do anmannaib,do,do 1,,,1,,
79729,S0005-44,0005,do Iudeïb,do,do 1,,,1,,
79763,S0005-46,0005,do chenél,do,2sg.poss.pron.,,,1,,
79765,S0005-46,0005,do mac,do,2sg.poss.pron.,,,1,,
79820,S0005-48,0005,do thromchosc,do,do 1,,,1,,
79920,S0005-52,0005,Ba do genuch,do,do 1,,,1,,
80215,S0005-65,0005,do dúilib,do,do 1,,,1,,
80478,S0005-77,0005,do Iudeib,do,do 1,,,1,,
80817,S0005-92,0005,Do chathbúadaib,Do,do 1,,,1,,
80875,S0005-94,0005,doda·bert,do,do·,,,1,,
80886,S0005-94,0005,do dígdi,do,do 1,,,1,,
80896,S0005-95,0005,Dos·n-escmart,Do,do·,,,1,,
80962,S0005-97,0005,do glanchompairt,do,do 1,,,1,,
80976,S0005-97,0005,do thocud,do,do 1,,,1,,
81034,S0005-100,0005,is do chairiugud,do,do 1,,,1,,
81167,S0005-106,0005,do Iudib,do,do 1,,,1,,
81174,S0005-106,0005,do mogaib,do,do 1,,,1,,
81182,S0005-107,0005,Ce dod·rindnacht,do,do·,,,1,,
81197,S0005-107,0005,do chonaib,do,do 1,,,1,,
81201,S0005-107,0005,do méthtorcaib,do,do 1,,,1,,
81206,S0005-108,0005,do Iudas,do,do 1,,,1,,
81381,S0005-115,0005,ba do chuingid,do,do 1,,,1,,
81392,S0005-115,0005,dos·rat,do,do·,,,1,,
81403,S0005-116,0005,do Chríst,do,do 1,,,1,,
81412,S0005-116,0005,do dul,do,do 1,,,1,,
81448,S0005-118,0005,Dos·roidbi,Do,do·,,,1,,
81650,S0005-126,0005,do apstalaib,do,do 1,,,1,,
81669,S0005-127,0005,do buith,do,do 1,,,1,,
81727,S0005-130,0005,do Thit,do,do 1,,,1,,
81761,S0005-131,0005,do rindib,do,do 1,,,1,,
82025,S0005-142,0005,do maic,do,2sg.poss.pron.,,,1,,
82086,S0005-144,0005,do airchisecht,do,do 1,,,1,,
82088,S0005-144,0005,do chridi-siu,do,2sg.poss.pron.,,,1,,
82134,S0005-146,0005,do rígmac,do,2sg.poss.pron.,,,1,,
82138,S0005-147,0005,Do lámchomairt,Do,do 1,,,1,,
82168,S0005-148,0005,do mac,do,2sg.poss.pron.,,,1,,
82178,S0005-148,0005,acht do·dichis-siu,do,do·,,,1,,
82184,S0005-148,0005,do chélidiu,do,do 1,,,1,,
82188,S0005-149,0005,Do airchisecht,Do,do 1,,,1,,
82220,S0005-150,0005,do mac,do,2sg.poss.pron.,,,1,,
82244,S0005-151,0005,dot tochmorc,do,2sg.poss.pron.,,,1,,
82275,S0005-152,0005,do noíbbronn,do,2sg.poss.pron.,,,1,,
82280,S0005-153,0005,Dom·röid,Do,do·,,,1,,
