TextID,Textual_Unit_ID,VariationID,Variant
71,S0071-1,PH023,1
3,S0003-29,PH024,1
3,S0003-35,PH025,1
5,S0005-1,PH026,1
5,S0005-2,PH027,1
5,S0005-2,PH028,1
5,S0005-6,PH029,1
5,S0005-7,PH030,1
5,S0005-9,PH031,1
5,S0005-12,PH032,1
5,S0005-15,PH033,1
5,S0005-16,PH034,1
5,S0005-17,PH035,1
5,S0005-19,PH036,1
5,S0005-19,PH037,1
5,S0005-22,PH038,1
5,S0005-28,PH039,1
5,S0005-31,PH040,1
5,S0005-34,PH041,1
5,S0005-37,PH042,1
5,S0005-37,PH043,1
5,S0005-37,PH044,1
5,S0005-40,PH045,1
5,S0005-40,PH046,1
5,S0005-40,PH047,1
5,S0005-41,PH048,1
5,S0005-42,PH049,1
5,S0005-42,PH050,1
5,S0005-44,PH051,1
5,S0005-46,PH052,1
5,S0005-46,PH053,1
5,S0005-48,PH054,1
5,S0005-52,PH055,1
5,S0005-65,PH056,1
5,S0005-77,PH057,1
5,S0005-92,PH058,1
5,S0005-94,PH059,1
5,S0005-94,PH060,1
5,S0005-95,PH061,1
5,S0005-97,PH062,1
5,S0005-97,PH063,1
5,S0005-100,PH064,1
5,S0005-106,PH065,1
5,S0005-106,PH066,1
5,S0005-107,PH067,1
5,S0005-107,PH068,1
5,S0005-107,PH069,1
5,S0005-108,PH070,1
5,S0005-115,PH071,1
5,S0005-115,PH072,1
5,S0005-116,PH073,1
5,S0005-116,PH074,1
5,S0005-118,PH075,1
5,S0005-126,PH076,1
5,S0005-127,PH077,1
5,S0005-130,PH078,1
5,S0005-131,PH079,1
5,S0005-142,PH080,1
5,S0005-144,PH081,1
5,S0005-144,PH082,1
5,S0005-146,PH083,1
5,S0005-147,PH084,1
5,S0005-148,PH085,1
5,S0005-148,PH086,1
5,S0005-148,PH087,1
5,S0005-149,PH088,1
5,S0005-150,PH089,1
5,S0005-151,PH090,1
5,S0005-152,PH091,1
5,S0005-153,PH092,1
5,S0005-153,PH093,1
5,S0005-154,PH094,1
5,S0005-154,PH095,1
5,S0005-159,PH096,1
5,S0005-164,PH097,1
5,S0005-165,PH098,1
5,S0005-165,PH099,1
5,S0005-166,PH100,1
5,S0005-171,PH101,1
5,S0005-172,PH102,1
5,S0005-172,PH103,1
