Text_ID,title,LOWER,UPPER,Weight,Late MS?,mean,sd
1,Annals_of_Ulster,554,950,,Y,752,66
2,Vita_Columbae,688,692,,,690,0.666666666666667
3,Baile_Chuinn,690,720,,Y,705,5
4,Disciples_and_Relatives_of_Columba,657,700,,Y,678.5,7.16666666666667
5,Poems_of_Blathmac,750,780,,Y,765,5
6,Milan_Glosses,785,825,,,805,6.66666666666667
7,St_Gall_Priscian,825,851,825,,838,4.33333333333333
8,Paris_Priscian,825,851,825,,838,4.33333333333333
9,Karlsruhe_Priscian,825,851,825,,838,4.33333333333333
10,Leiden_Priscian,825,851,825,,838,4.33333333333333
11,Milan_Priscian,825,851,825,,838,4.33333333333333
12,Armagh_Glosses,740,750,,,745,1.66666666666667
13,Berlin_Augustine,825,859,,,842,5.66666666666667
14,Bern_Glossae_Divinae_Historiae,830,850,,,840,3.33333333333333
15,Bern_Servius,840,875,,,857.5,5.83333333333333
16,Dublin(I)_Gospels,750,800,,,775,8.33333333333333
17,Fulda_Gospels,700,750,,,725,8.33333333333333
18,Cambridge(Corpus)_Canons,800,875,,,837.5,12.5
19,Cambridge(Corpus)_Glossary,679,715,679,,697,6
20,Cambridge(UL)_Juvencus,850,1000,,,925,25
21,Karlsruhe_Augustine,825,850,,,837.5,4.16666666666667
22,Karlsruhe_Bede,826,848,,,837,3.66666666666667
23,Laon_Cassiodorus,834,877,,,855.5,7.16666666666667
24,Laon_Isidore,834,859,,,846.5,4.16666666666667
25,Laon_Glossary,834,877,,,855.5,7.16666666666667
26,Laon_Augustine,834,877,,,855.5,7.16666666666667
27,Florence_Philargyrius,690,740,704,,715,8.33333333333333
28,Leiden_Boethius,800,850,,,825,8.33333333333333
29,London_Gospels,888,939,,,913.5,8.5
30,Milan_Donatus,685,715,685,,700,5
31,Milan_Sententia_Sanctorum_Doctorum,700,800,,,750,16.6666666666667
32,Munich_Paul_Commentary,685,715,685,,700,5
33,Munich_Donatus,685,715,,,700,5
34,Munich_Glossary,850,900,,,875,8.33333333333333
35,Munich_Luke_Commentary,685,715,,,700,5
36,Munich_Sortilegia,800,875,,,837.5,12.5
37,Nancy_Computus,701,798,798,,749.5,16.1666666666667
38,Naples_Malsachanus,670,700,,,685,5
39,Paris_Canons,800,900,,,850,16.6666666666667
40,Paris_Computus,685,715,685,,700,5
41,Paris(I)_Eutychius,700,800,800,,750,16.6666666666667
42,Paris(II)_Eutychius,700,800,800,,750,16.6666666666667
43,Paris_Glossae_Divinae_Historiae,830,850,,,840,3.33333333333333
44,Paris_Gregory,800,900,,,850,16.6666666666667
45,Karlsruhe_Collectio_Canonum_Hibernensis,800,833,,,816.5,5.5
46,Saint_Omer_Amos,675,700,,,687.5,4.16666666666667
47,Cambridge(John's)_Psalter,775,850,800,,812.5,12.5
48,Dublin_Psalter,870,900,,,885,5
49,St_Gall_John_Commentary,850,850,,,850,0
50,Turin_Mark_Commentary,850,875,,,862.5,4.16666666666667
51,Turin_Liturgy,685,715,685,,700,5
52,Turin_New_Testament,600,700,,,650,16.6666666666667
53,Turin_Second_Epistle_of_Peter,686,715,,,700.5,4.83333333333333
54,Dublin(II)_Gospels,600,650,,,625,8.33333333333333
55,Vatican_Computus,700,800,,,750,16.6666666666667
56,Vatican_Glossae_Divinae_Historiae,830,850,,,840,3.33333333333333
57,Vatican_Psalter_Commentary,700,750,,,725,8.33333333333333
58,Vienna_Bede,826,848,,,837,3.66666666666667
59,Naples_Eutychius,700,800,,,750,16.6666666666667
60,Vienna_Matthew_Commentary,685,715,715,,700,5
61,Würzburg_Matthew_Commentary,600,700,,,650,16.6666666666667
62,Muirchú_Life_of_Patrick,661,700,,,680.5,6.5
63,Tírechán_Collectanea,664,700,,,682,6
64,Armagh_Additamenta,700,740,,,720,6.66666666666667
65,Armargh_Notulae,750,807,,,778.5,9.5
66,Armagh_Liber_Angeli,780,807,,,793.5,4.5
67,Epistle_of_Jesus,857,887,,Y,872,5
68,Cáin_Domnaig,857,887,,Y,872,5
69,Antiphonary_of_Bangor,680,691,,,685.5,1.83333333333333
70,Monastery_of_Tallaght,831,840,,Y,835.5,1.5
71,Cologne(I)_Bede,800,900,,,850,16.6666666666667
72,Cologne(II)_Bede,800,900,,,850,16.6666666666667
73,Naples_Charisius,800,900,,,850,16.6666666666667
74,St_Gall_Prudentius,850,877,,,863.5,4.5
75,Paris_De_Locis_Sanctis,800,842,800,,821,7
76,Zurich_De_Locis_Sanctis,800,842,800,,821,7
77,Einsiedeln_Computus,689,719,,,704,5
78,Bern_Donatus,685,715,715,,700,5
79,Würzburg Glosses (prima manus),685,715,715,,700,5
80,Würzburg Glosses (main body of glosses),750,770,,,760,3.33333333333333
