LOCUS,Year_Lower,Year_Upper,Variant,Context,POS,Note,Variation,Class
Sg. 90a2,840,860,1,3,A,,Non-pretonic,Non-Pretonic
Ml. 18d24,780,810,0,1,Prep,,Complex,Pretonic
Ml. 19d2,780,810,0,0,Prep,,Non-Complex,Pretonic
Ml. 19d20,780,810,0,1,Prep,,Complex,Pretonic
Ml. 24d25,780,810,0,0,Prep,,Non-Complex,Pretonic
Ml. 24d26,780,810,0,0,Prep,,Non-Complex,Pretonic
Ml. 25d1,780,810,0,0,Prep,,Non-Complex,Pretonic
Ml. 26b1,780,810,0,0,Prep,,Non-Complex,Pretonic
Ml. 34d20,780,810,0,0,Prep,,Non-Complex,Pretonic
Ml. 35a19,780,810,0,0,Prep,,Non-Complex,Pretonic
Ml. 37d10,780,810,0,0,Prep,,Non-Complex,Pretonic
Ml. 38b1,780,810,0,0,Prep,,Non-Complex,Pretonic
Ml. 38d13,780,810,0,1,Prep,,Complex,Pretonic
Ml. 39a7,780,810,0,1,Prep,,Complex,Pretonic
Ml. 39c12,780,810,0,0,Prep,,Non-Complex,Pretonic
Ml. 47c18,780,810,0,1,Prep,,Complex,Pretonic
Ml. 53d12,780,810,0,0,Prep,,Non-Complex,Pretonic
Ml. 56b33,780,810,0,1,Prep,,Complex,Pretonic
Ml. 58a11,780,810,0,1,Prep,,Complex,Pretonic
Ml. 59a19,780,810,0,1,Prep,,Complex,Pretonic
Ml. 65b11,780,810,0,0,Prep,,Non-Complex,Pretonic
Ml. 69a18,780,810,0,0,Prep,,Non-Complex,Pretonic
Ml. 76c5,780,810,0,1,Prep,,Complex,Pretonic
Ml. 92a13,780,810,0,0,Prep,,Non-Complex,Pretonic
Ml. 97a7,780,810,0,1,Prep,,Complex,Pretonic
Ml. 102a7,780,810,0,0,Prep,,Non-Complex,Pretonic
Ml. 103b15,780,810,0,1,Prep,,Complex,Pretonic
Ml. 103b16,780,810,0,1,Prep,,Complex,Pretonic
Ml. 103d14,780,810,0,1,Prep,,Complex,Pretonic
Ml. 114b17,780,810,0,0,Prep,,Non-Complex,Pretonic
